Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Puerto Rico,15,1.4558602643123861,0.9860700094554821,1.081450070701431,0.9621350515210352,0.6703967982169973,-0.13438071844031774,-0.15461676524388127
Germany,16,1.416318311493045,1.2011063565063884,1.1439277352185786,1.1252458436817028,1.1284000767930917,1.336115560277099,0.464153171732449
Brazil,17,1.3794124888616603,0.3249864228468109,0.9244095834292512,0.24727324506305817,0.22928510525751344,0.03646644689850244,-0.63658229433599
Belgium,18,1.359202157420664,1.1464476378077861,0.973722177157114,1.1458916720270598,0.9827877142531684,1.128045215604808,-0.0017618402065768548
Ireland,19,1.3398705360423193,1.2875196511037335,1.3840210119271597,1.1238461265057464,1.165768400891879,1.444803630029929,1.5525132390613612
Luxembourg,20,1.3082369737868467,1.8081147694559443,0.9267040671953836,1.258875092823789,1.2251992041633815,1.9484910688262913,0.2480712094986542
Mexico,21,1.2265169379602077,0.39194821612792785,-0.2972337568404164,0.6727872665538004,0.042029813279089105,0.4149322192963432,-0.9396670598294872
Singapore,22,1.192247245516779,1.6817529540303953,0.27819268011522674,1.7040288959396692,0.8046331949334895,3.0017624879272775,0.6332086187560427
United Kingdom,23,1.1799453046396504,1.091594404096022,1.1024765694763168,1.103550227454379,0.8919178781605459,1.2320352141796267,1.9420007884817352
Chile,24,1.1623711033866102,0.6390309115973201,0.4222185545499995,1.1425673437341628,0.04754543307226818,-0.2088270771072599,0.5498809339098969
Panama,25,1.1588562631360018,0.5572373485625794,0.735359166895125,0.6593149887352203,0.8154575987776028,-0.48239937570374175,-0.006261985202768476
Argentina,26,1.114042049940749,0.4801850889736693,1.0249907242593852,0.610149922929752,0.3574543202015085,-0.5842210337348629,-0.9956188626154678
Czech Republic,27,1.0665917065575397,0.8638173236829861,0.8061120187655372,0.9016847659844184,0.29774773594034676,-0.8832713337197885,-1.0751214242148508
